,NOME_SALA,REGISTRO_SALA,CNPJ_SALA,SITUACAO_SALA,DATA_SITUACAO_SALA,DATA_INICIO_FUNCIONAMENTO_SALA,ASSENTOS_SALA,ASSENTOS_CADEIRANTES,ASSENTOS_MOBILIDADE_REDUZIDA,ASSENTOS_OBESIDADE,ACESSO_ASSENTOS_COM_RAMPA,ACESSO_SALA_COM_RAMPA,BANHEIROS_ACESSIVEIS,NOME_COMPLEXO,REGISTRO_COMPLEXO,SITUACAO_COMPLEXO,DATA_SITUACAO_COMPLEXO,PAGINA_ELETRONICA_COMPLEXO,ENDERECO_COMPLEXO,NUMERO_ENDERECO_COMPLEXO,COMPLEMENTO_COMPLEXO,BAIRRO_COMPLEXO,MUNICIPIO_COMPLEXO,CEP_COMPLEXO,UF_COMPLEXO,COMPLEXO_ITINERANTE,OPERACAO_USUAL,NOME_EXIBIDOR,REGISTRO_EXIBIDOR,CNPJ_EXIBIDOR,SITUACAO_EXIBIDOR,NOME_GRUPO_EXIBIDOR
4507,JARDIM GUADALUPE 04,5003375.0,03.608.600/0029-26,EM FUNCIONAMENTO,29/04/2021,24/11/2011,366.0,10.0,0.0,2.0,SIM,NÃO,SIM,JARDIM GUADALUPE,20404,EM FUNCIONAMENTO,29/04/2021,,AV. BRASIL,22155.0,,GUADALUPE,RIO DE JANEIRO,21670-000,RJ,NÃO,COMERCIAL,MSA EMPRESA CINEMATOGRÁFICA LTDA,3136,03.608.600/0001-25,REGULAR,ARAÚJO
4508,JARDIM GUADALUPE 05,5003376.0,03.608.600/0029-26,EM FUNCIONAMENTO,29/04/2021,24/11/2011,306.0,7.0,0.0,2.0,SIM,NÃO,SIM,JARDIM GUADALUPE,20404,EM FUNCIONAMENTO,29/04/2021,,AV. BRASIL,22155.0,,GUADALUPE,RIO DE JANEIRO,21670-000,RJ,NÃO,COMERCIAL,MSA EMPRESA CINEMATOGRÁFICA LTDA,3136,03.608.600/0001-25,REGULAR,ARAÚJO
4560,KINOPLEX FASHION MALL SALA 01 (PLATINUM),5002205.0,08.262.566/0004-46,EM FUNCIONAMENTO,17/12/2020,25/10/2007,44.0,2.0,1.0,1.0,SIM,NÃO,SIM,KINOPLEX FASHION MALL,13482,EM FUNCIONAMENTO,17/12/2020,www.kinoplex.com.br,ESTRADA DA GÁVEA,899.0,2° PAV.LOJA 220,SÃO CONRADO,RIO DE JANEIRO,22610-901,RJ,NÃO,COMERCIAL,SR RIO DE JANEIRO CINEMAS S/A,11751,08.262.566/0001-01,REGULAR,KINOPLEX
4561,KINOPLEX FASHION MALL SALA 02 (PLATINUM),5002206.0,08.262.566/0004-46,EM FUNCIONAMENTO,17/12/2020,25/10/2007,54.0,3.0,0.0,0.0,SIM,NÃO,SIM,KINOPLEX FASHION MALL,13482,EM FUNCIONAMENTO,17/12/2020,www.kinoplex.com.br,ESTRADA DA GÁVEA,899.0,2° PAV.LOJA 220,SÃO CONRADO,RIO DE JANEIRO,22610-901,RJ,NÃO,COMERCIAL,SR RIO DE JANEIRO CINEMAS S/A,11751,08.262.566/0001-01,REGULAR,KINOPLEX
4562,KINOPLEX FASHION MALL SALA 03,5002207.0,08.262.566/0004-46,EM FUNCIONAMENTO,25/12/2020,25/10/2007,93.0,4.0,1.0,1.0,SIM,NÃO,SIM,KINOPLEX FASHION MALL,13482,EM FUNCIONAMENTO,17/12/2020,www.kinoplex.com.br,ESTRADA DA GÁVEA,899.0,2° PAV.LOJA 220,SÃO CONRADO,RIO DE JANEIRO,22610-901,RJ,NÃO,COMERCIAL,SR RIO DE JANEIRO CINEMAS S/A,11751,08.262.566/0001-01,REGULAR,KINOPLEX
4563,KINOPLEX FASHION MALL SALA 04,5002208.0,08.262.566/0004-46,EM FUNCIONAMENTO,25/12/2020,25/10/2007,114.0,4.0,1.0,1.0,SIM,NÃO,SIM,KINOPLEX FASHION MALL,13482,EM FUNCIONAMENTO,17/12/2020,www.kinoplex.com.br,ESTRADA DA GÁVEA,899.0,2° PAV.LOJA 220,SÃO CONRADO,RIO DE JANEIRO,22610-901,RJ,NÃO,COMERCIAL,SR RIO DE JANEIRO CINEMAS S/A,11751,08.262.566/0001-01,REGULAR,KINOPLEX
4594,SALA KINOPLEX LEBLON SALA 01,5001930.0,08.262.566/0003-65,EM FUNCIONAMENTO,09/04/2021,29/08/2006,166.0,4.0,1.0,1.0,SIM,NÃO,SIM,KINOPLEX LEBLON,11752,EM FUNCIONAMENTO,09/04/2021,www.kinoplex.com.br,AV AFRÂNIO DE MELO FRANCO,290.0,LJ 401,LEBLON,RIO DE JANEIRO,22430-060,RJ,NÃO,COMERCIAL,SR RIO DE JANEIRO CINEMAS S/A,11751,08.262.566/0001-01,REGULAR,KINOPLEX
4595,SALA KINOPLEX LEBLON SALA 02,5001932.0,08.262.566/0003-65,EM FUNCIONAMENTO,09/04/2021,29/08/2006,61.0,3.0,1.0,1.0,SIM,NÃO,SIM,KINOPLEX LEBLON,11752,EM FUNCIONAMENTO,09/04/2021,www.kinoplex.com.br,AV AFRÂNIO DE MELO FRANCO,290.0,LJ 401,LEBLON,RIO DE JANEIRO,22430-060,RJ,NÃO,COMERCIAL,SR RIO DE JANEIRO CINEMAS S/A,11751,08.262.566/0001-01,REGULAR,KINOPLEX
4596,SALA KINOPLEX LEBLON SALA 03,5001931.0,08.262.566/0003-65,EM FUNCIONAMENTO,09/04/2021,29/08/2006,168.0,4.0,1.0,1.0,SIM,NÃO,SIM,KINOPLEX LEBLON,11752,EM FUNCIONAMENTO,09/04/2021,www.kinoplex.com.br,AV AFRÂNIO DE MELO FRANCO,290.0,LJ 401,LEBLON,RIO DE JANEIRO,22430-060,RJ,NÃO,COMERCIAL,SR RIO DE JANEIRO CINEMAS S/A,11751,08.262.566/0001-01,REGULAR,KINOPLEX
4597,SALA KINOPLEX LEBLON SALA 04,5001933.0,08.262.566/0003-65,EM FUNCIONAMENTO,09/04/2021,29/08/2006,159.0,4.0,1.0,1.0,SIM,NÃO,SIM,KINOPLEX LEBLON,11752,EM FUNCIONAMENTO,09/04/2021,www.kinoplex.com.br,AV AFRÂNIO DE MELO FRANCO,290.0,LJ 401,LEBLON,RIO DE JANEIRO,22430-060,RJ,NÃO,COMERCIAL,SR RIO DE JANEIRO CINEMAS S/A,11751,08.262.566/0001-01,REGULAR,KINOPLEX
